scale,min_mean,rev,rev_val,lable,1,2,3,4,5,6,7,8,9,10
AE_1_4,2,"1,2,3,4",6,mean of agentic engagement 1-4,agent1,agent2,agent3,agent4,,,,,,
AE_5_6,2,,6,mean of agentic engagement 5-6,agent5,agent6,,,,,,,,
AE_all,4,"1,2,3,4",6,mean of agentic engagement all,agent1,agent2,agent3,agent4,agent5,agent6,,,,
emot_anx,2,,7,mean of emotions Anxity,emot4,emot5,emot6,,,,,,,
emot_dep,2,,7,mean of emotions Depression,emot1,emot2,emot3,,,,,,,
ex_expect,2,"1,2,3",6,mean of fulfilled expectations,ex_expect1,ex_expect2,ex_expect3,,,,,,,
ex_itl_mitlp,2,"1,2,3",6,mean of intention to leave profession,ex_itl4,ex_itl5,ex_itl6,,,,,,,
ex_itl_mitlw,2,"1,2,3",6,mean of intention to leave workplace,ex_itl1,ex_itl2,ex_itl3,,,,,,,
ex_jobsat,2,"1,2,3",6,mean of job satisfaction,ex_jobsat1,ex_jobsat2,ex_jobsat3,,,,,,,
ex_org_com,2,,6,mean of organisational commitment,ex_org_com1,ex_org_com2,ex_org_com3,,,,,,,
exp_dev,2,,6,mean expectations of resources for professional development,exp_dev1,exp_dev2,exp_dev3,exp_dev4,,,,,,
fitperc,2,3,8,mean belonging uncertainty as a measure of fit perceptions 4 item,fitperc1,fitperc2,fitperc3,fitperc4,,,,,,
learnclim_man,2,"1,2,3",6,mean of learning climate scale management,learnclim4,learnclim5,learnclim6,,,,,,,
learnclim_sup,2,"1,2,3",6,mean of learning climate scale supervisor,learnclim1,learnclim2,learnclim3,,,,,,,
nse,6,"1,2,3,4,5,6,7,8,9,10",8,mean of nursing self efficacy,nse1,nse2,nse3,nse4,nse5,nse6,nse7,nse8,nse9,nse10
nsfs_a,2,2,6,mean of Autonomy,nsfs1,nsfs2,,,,,,,,
nsfs_c,2,2,6,mean of Competence,nsfs5,nsfs6,,,,,,,,
nsfs_r,2,2,6,mean of Relatedness,nsfs3,nsfs4,,,,,,,,
olbi,4,"1,2,3,4,5,6,7",5,mean of obli burnout,olbi1,olbi2,olbi3,olbi4,olbi5,olbi6,olbi7,,,
roleclarity,2,"1,2,3",6,mean of role clarity,roleclarity1,roleclarity2,roleclarity3,,,,,,,
seq_energy,4,"2,4,6",7,mean of SEQ energy scale,seq2,seq4,seq6,seq7,seq9,seq11,,,,
seq_stress,4,"1,4,6",7,mean of SEQ stress scale,seq1,seq3,seq5,seq8,seq10,seq12,,,,
sleep_qual,2,,6,mean sleep quality,sleep_qual1,sleep_qual2,sleep_qual3,sleep_qual4,,,,,,
sleepiness_begining,1,,10,,sleepiness1,,,,,,,,,
sleepiness_end,1,,10,,sleepiness2,,,,,,,,,
sss8,5,,6,,sss81,sss82,sss83,sss84,sss85,sss86,sss87,sss88,,
swebo,2,,7,mean of SWEBO,swebo1,swebo2,swebo3,,,,,,,
top,2,,7,mean of top,förändringsbarhet1,förändringsbarhet2,förändringsbarhet3,förändringsbarhet4,,,,,,
tow,2,,7,mean of tow,tow1,tow2,tow3,,,,,,,
